iso_code;CountryID;date;total_cases;new_cases;total_deaths;new_deaths
ABW;;29/03/2021;;;;
ABW;;30/03/2021;;;;
ABW;;31/03/2021;;;;
ABW;;01/04/2021;;;;
ABW;;02/04/2021;;;;
ABW;;03/04/2021;;;;
ABW;;04/04/2021;;;;
ABW;;05/04/2021;;;;
ABW;;06/04/2021;;;;
ABW;;07/04/2021;;;;
ABW;;08/04/2021;;;;
ABW;;09/04/2021;;;;
ABW;;10/04/2021;;;;
ABW;;11/04/2021;;;;
ABW;;12/04/2021;;;;
ABW;;13/04/2021;;;;
ABW;;14/04/2021;;;;
ABW;;15/04/2021;;;;
ABW;;16/04/2021;;;;
ABW;;17/04/2021;;;;
ABW;;18/04/2021;;;;
ABW;;19/04/2021;;;;
ABW;;20/04/2021;;;;
ABW;;21/04/2021;;;;
ABW;;22/04/2021;;;;
ABW;;23/04/2021;;;;
ABW;;24/04/2021;;;;
ABW;;25/04/2021;;;;
ABW;;26/04/2021;;;;
ABW;;27/04/2021;;;;
ABW;;28/04/2021;;;;
ABW;;29/04/2021;;;;
ABW;;30/04/2021;;;;
ABW;;01/05/2021;;;;
ABW;;02/05/2021;;;;
ABW;;03/05/2021;;;;
ABW;;04/05/2021;;;;
ABW;;05/05/2021;;;;
ABW;;06/05/2021;;;;
ABW;;07/05/2021;;;;
ABW;;08/05/2021;;;;
ABW;;09/05/2021;;;;
ABW;;10/05/2021;;;;
ABW;;11/05/2021;;;;
ABW;;12/05/2021;;;;
ABW;;13/05/2021;;;;
ABW;;14/05/2021;;;;
ABW;;15/05/2021;;;;
ABW;;16/05/2021;;;;
ABW;;17/05/2021;;;;
ABW;;18/05/2021;;;;
ABW;;19/05/2021;;;;
ABW;;20/05/2021;;;;
ABW;;21/05/2021;;;;
ABW;;22/05/2021;;;;
ABW;;23/05/2021;;;;
ABW;;24/05/2021;;;;
ABW;;25/05/2021;;;;
ABW;;26/05/2021;;;;
ABW;;27/05/2021;;;;
ABW;;28/05/2021;;;;
ABW;;29/05/2021;;;;
ABW;;30/05/2021;;;;
ABW;;31/05/2021;;;;
ABW;;01/06/2021;;;;
ABW;;02/06/2021;;;;
ABW;;03/06/2021;;;;
ABW;;04/06/2021;;;;
ABW;;05/06/2021;;;;
ABW;;06/06/2021;;;;
ABW;;07/06/2021;;;;
ABW;;08/06/2021;;;;
ABW;;09/06/2021;;;;
ABW;;10/06/2021;;;;
ABW;;11/06/2021;;;;
ABW;;12/06/2021;;;;
ABW;;13/06/2021;;;;
ABW;;14/06/2021;;;;
AFG;1;24/02/2020;1;1;;
AFG;1;25/02/2020;1;0;;
AFG;1;26/02/2020;1;0;;
AFG;1;27/02/2020;1;0;;
AFG;1;28/02/2020;1;0;;
AFG;1;29/02/2020;1;0;;
AFG;1;01/03/2020;1;0;;
AFG;1;02/03/2020;1;0;;
AFG;1;03/03/2020;2;1;;
AFG;1;04/03/2020;4;2;;
AFG;1;05/03/2020;4;0;;
AFG;1;06/03/2020;4;0;;
AFG;1;07/03/2020;4;0;;
AFG;1;08/03/2020;5;1;;
AFG;1;09/03/2020;7;2;;
AFG;1;10/03/2020;8;1;;
AFG;1;11/03/2020;11;3;;
AFG;1;12/03/2020;12;1;;
AFG;1;13/03/2020;13;1;;
AFG;1;14/03/2020;15;2;;
AFG;1;15/03/2020;16;1;;
AFG;1;16/03/2020;18;2;;
AFG;1;17/03/2020;20;2;;
AFG;1;18/03/2020;24;4;;
AFG;1;19/03/2020;25;1;;
AFG;1;20/03/2020;29;4;;
AFG;1;21/03/2020;30;1;;
AFG;1;22/03/2020;34;4;1;1
AFG;1;23/03/2020;41;7;1;0
AFG;1;24/03/2020;43;2;1;0
AFG;1;25/03/2020;76;33;2;1
AFG;1;26/03/2020;80;4;3;1
AFG;1;27/03/2020;91;11;3;0
AFG;1;28/03/2020;107;16;4;1
AFG;1;29/03/2020;118;11;4;0
AFG;1;30/03/2020;146;28;4;0
AFG;1;31/03/2020;175;29;4;0
AFG;1;01/04/2020;197;22;4;0
AFG;1;02/04/2020;240;43;4;0
AFG;1;03/04/2020;275;35;8;4
AFG;1;04/04/2020;300;25;10;2
AFG;1;05/04/2020;338;38;12;2
AFG;1;06/04/2020;368;30;15;3
AFG;1;07/04/2020;424;56;16;1
AFG;1;08/04/2020;445;21;16;0
AFG;1;09/04/2020;485;40;17;1
AFG;1;10/04/2020;532;47;18;1
AFG;1;11/04/2020;556;24;18;0
