CountryID;ef_world_rank;ef_2021_score;GDP;govt_exp
1;146;53;76624000000;76,1
2;66;65,2;39832000000;74,6
3;162;49,7;668827000000;55,4
4;140;54,2;200830000000;86,9
5;148;52,7;911562000000;52,8
6;32;71,9;33426000000;81,3
7;3;82,4;1362070000000;58,1
8;25;73,9;476812000000;29,1
9;38;70,1;187346000000;65,2
10;70;64,6;12798000000;87,6
11;40;69,9;76940000000;67,1
12;120;56,5;838554000000;93,8
13;67;65;5432000000;73,1
14;95;61;195119000000;55,5
15;37;70,1;572902000000;18,4
16;114;57,5;3358000000;64,7
17;100;59,6;40643000000;92
18;109;58,3;7937000000;71,6
19;172;42,7;93357000000;58,4
20;82;62,9;49727000000;49,5
21;51;67,6;43907000000;68,2
22;143;53,4;3480550000000;56,5
186;57;66,6;36631000000;67,6
23;35;70,4;170925000000;64,7
24;124;56,5;47303000000;81,9
25;135;55,2;357339000000;87,1
26;161;49,9;8711000000;79,3
27;118;57,25;76959000000;84,3
28;144;53,36666667;100604000000;89
29;9;77,86666667;1904390000000;49,8
30;77;63,8;4343000000;70,7
31;166;48,8;4199000000;92,2
32;158;50,4;31913000000;93,9
33;19;75,2;495176000000;80,4
34;107;58,4;27307000000000;67,6
35;49;68,1;785836000000;69,3
36;132;55,7;2530000000;91,6
37;165;49;83151000000;96
38;156;50,7;31219000000;84
39;72;64,2;92062000000;87,7
40;91;61,7;158288000000;90,4
41;79;63,6;112623000000;35,8
42;176;28,1;159440000000;0
43;33;71,4;36915000000;52,1
44;27;73,8;412978000000;51,4
45;10;77,8;319491000000;23,1
46;126;56,2;6259000000;80,4
47;147;53;848000000;7,4
48;88;62,1;199395000000;91,7
49;149;52,4;203611000000;58,5
50;130;55,7;1391270000000;73,1
51;94;61;55578000000;81
52;163;49,2;28208000000;90
53;173;42,3;6591000000;64,3
54;8;78,2;47807000000;54,4
156;137;55,1;12407000000;64,3
55;151;51,7;243618000000;91,9
56;87;62,2;10631000000;71,1
57;17;76,1;265879000000;14,3
58;64;65,7;3061820000000;6,3
59;110;58,1;39810000000;90,8
60;104;58,8;6412000000;84,1
61;12;77,2;47910000000;76,9
62;29;72,5;4443570000000;40,3
63;101;59,2;204813000000;87,8
64;96;60,9;323653000000;34,2
65;75;64;152779000000;94,8
66;123;56,5;33392000000;92,5
67;139;54,9;3696000000;88,7
68;116;57,4;7148000000;77,3
