iso_code;CountryID;date;icu_patients;total_tests;new_tests;total_vaccinations;new_vaccinations;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred
ABW;;29/03/2021;;;;25766;;14,61;9,52
ABW;;30/03/2021;;;;;;;
ABW;;31/03/2021;;;;;;;
ABW;;01/04/2021;;;;;;;
ABW;;02/04/2021;;;;;;;
ABW;;03/04/2021;;;;;;;
ABW;;04/04/2021;;;;;;;
ABW;;05/04/2021;;;;;;;
ABW;;06/04/2021;;;;;;;
ABW;;07/04/2021;;;;;;;
ABW;;08/04/2021;;;;;;;
ABW;;09/04/2021;;;;;;;
ABW;;10/04/2021;;;;41096;;27,35;11,14
ABW;;11/04/2021;;;;;;;
ABW;;12/04/2021;;;;43073;;29,17;11,18
ABW;;13/04/2021;;;;45588;2515;31,44;11,26
ABW;;14/04/2021;;;;48200;2612;33,77;11,37
ABW;;15/04/2021;;;;50546;2346;35,57;11,77
ABW;;16/04/2021;;;;52955;2409;37,43;12,17
ABW;;17/04/2021;;;;55582;2627;39,12;12,94
ABW;;18/04/2021;;;;55651;69;39,19;12,94
ABW;;19/04/2021;;;;58178;2527;40,52;13,97
ABW;;20/04/2021;;;;60379;2201;41,16;15,39
ABW;;21/04/2021;;;;62342;1963;41,61;16,79
ABW;;22/04/2021;;;;64288;1946;42,24;17,97
ABW;;23/04/2021;;;;67950;3662;45,02;18,63
ABW;;24/04/2021;;;;69279;1329;46,22;18,67
ABW;;25/04/2021;;;;73103;3824;49,79;18,68
ABW;;26/04/2021;;;;73360;257;49,87;18,84
ABW;;27/04/2021;;;;;;;
ABW;;28/04/2021;;;;74668;;50,4;19,53
ABW;;29/04/2021;;;;75846;1178;50,67;20,37
ABW;;30/04/2021;;;;76865;1019;50,86;21,13
ABW;;01/05/2021;;;;;;;
ABW;;02/05/2021;;;;;;;
ABW;;03/05/2021;;;;77728;;51,15;21,65
ABW;;04/05/2021;;;;78956;1228;51,66;22,3
ABW;;05/05/2021;;;;79502;546;51,85;22,61
ABW;;06/05/2021;;;;79553;51;51,86;22,65
ABW;;07/05/2021;;;;80258;705;52,1;23,07
ABW;;08/05/2021;;;;80699;441;52,21;23,37
ABW;;09/05/2021;;;;;;;
ABW;;10/05/2021;;;;81616;;52,46;23,98
ABW;;11/05/2021;;;;82877;1261;52,72;24,9
ABW;;12/05/2021;;;;84239;1362;53,01;25,89
ABW;;13/05/2021;;;;85441;1202;53,32;26,7
ABW;;14/05/2021;;;;87536;2095;53,68;28,31
ABW;;15/05/2021;;;;88602;1066;53,84;29,15
ABW;;16/05/2021;;;;;;;
ABW;;17/05/2021;;;;91006;;54,26;30,97
ABW;;18/05/2021;;;;93734;2728;54,65;33,15
ABW;;19/05/2021;;;;96007;2273;54,96;34,96
ABW;;20/05/2021;;;;97921;1914;55,22;36,5
ABW;;21/05/2021;;;;100003;2082;55,58;38,09
ABW;;22/05/2021;;;;103395;3392;56,2;40,64
ABW;;23/05/2021;;;;108471;5076;57,36;44,24
ABW;;24/05/2021;;;;109756;1285;57,65;45,15
ABW;;25/05/2021;;;;111377;1621;58,2;46,11
ABW;;26/05/2021;;;;111665;288;58,3;46,29
ABW;;27/05/2021;;;;112316;651;58,54;46,66
ABW;;28/05/2021;;;;113098;782;58,72;47,21
ABW;;29/05/2021;;;;113662;564;58,93;47,53
ABW;;30/05/2021;;;;;;;
ABW;;31/05/2021;;;;114154;;59,11;47,81
ABW;;01/06/2021;;;;114632;478;59,27;48,1
ABW;;02/06/2021;;;;115144;512;59,43;48,41
ABW;;03/06/2021;;;;116563;1419;59,95;49,23
ABW;;04/06/2021;;;;116577;14;59,95;49,24
ABW;;05/06/2021;;;;;;;
ABW;;06/06/2021;;;;116579;;59,95;49,24
ABW;;07/06/2021;;;;117036;457;60,12;49,5
ABW;;08/06/2021;;;;117696;660;60,39;49,85
ABW;;09/06/2021;;;;118316;620;60,66;50,16
ABW;;10/06/2021;;;;118873;557;60,9;50,44
ABW;;11/06/2021;;;;119395;522;61,1;50,72
ABW;;12/06/2021;;;;121471;2076;61,86;51,91
ABW;;13/06/2021;;;;;;;
ABW;;14/06/2021;;;;121874;;61,99;52,16
AFG;1;24/02/2020;;;;;;;
AFG;1;25/02/2020;;;;;;;
AFG;1;26/02/2020;;;;;;;
AFG;1;27/02/2020;;;;;;;
AFG;1;28/02/2020;;;;;;;
AFG;1;29/02/2020;;;;;;;
AFG;1;01/03/2020;;;;;;;
AFG;1;02/03/2020;;;;;;;
AFG;1;03/03/2020;;;;;;;
AFG;1;04/03/2020;;;;;;;
AFG;1;05/03/2020;;;;;;;
AFG;1;06/03/2020;;;;;;;
AFG;1;07/03/2020;;;;;;;
AFG;1;08/03/2020;;;;;;;
AFG;1;09/03/2020;;;;;;;
AFG;1;10/03/2020;;;;;;;
AFG;1;11/03/2020;;;;;;;
AFG;1;12/03/2020;;;;;;;
AFG;1;13/03/2020;;;;;;;
AFG;1;14/03/2020;;;;;;;
AFG;1;15/03/2020;;;;;;;
AFG;1;16/03/2020;;;;;;;
AFG;1;17/03/2020;;;;;;;
AFG;1;18/03/2020;;;;;;;
AFG;1;19/03/2020;;;;;;;
AFG;1;20/03/2020;;;;;;;
AFG;1;21/03/2020;;;;;;;
AFG;1;22/03/2020;;;;;;;
AFG;1;23/03/2020;;;;;;;
AFG;1;24/03/2020;;;;;;;
AFG;1;25/03/2020;;;;;;;
AFG;1;26/03/2020;;;;;;;
AFG;1;27/03/2020;;;;;;;
AFG;1;28/03/2020;;;;;;;
AFG;1;29/03/2020;;;;;;;
AFG;1;30/03/2020;;;;;;;
AFG;1;31/03/2020;;;;;;;
AFG;1;01/04/2020;;;;;;;
AFG;1;02/04/2020;;;;;;;
AFG;1;03/04/2020;;;;;;;
AFG;1;04/04/2020;;;;;;;
AFG;1;05/04/2020;;;;;;;
AFG;1;06/04/2020;;;;;;;
AFG;1;07/04/2020;;;;;;;
AFG;1;08/04/2020;;;;;;;
AFG;1;09/04/2020;;;;;;;
AFG;1;10/04/2020;;;;;;;
AFG;1;11/04/2020;;;;;;;
AFG;1;12/04/2020;;;;;;;
AFG;1;13/04/2020;;;;;;;
AFG;1;14/04/2020;;;;;;;
AFG;1;15/04/2020;;;;;;;
AFG;1;16/04/2020;;;;;;;
AFG;1;17/04/2020;;;;;;;
AFG;1;18/04/2020;;;;;;;
AFG;1;19/04/2020;;;;;;;
AFG;1;20/04/2020;;;;;;;
AFG;1;21/04/2020;;;;;;;
AFG;1;22/04/2020;;;;;;;
AFG;1;23/04/2020;;;;;;;
AFG;1;24/04/2020;;;;;;;
AFG;1;25/04/2020;;;;;;;
AFG;1;26/04/2020;;;;;;;
AFG;1;27/04/2020;;;;;;;
AFG;1;28/04/2020;;;;;;;
AFG;1;29/04/2020;;;;;;;
AFG;1;30/04/2020;;;;;;;
AFG;1;01/05/2020;;;;;;;
AFG;1;02/05/2020;;;;;;;
AFG;1;03/05/2020;;;;;;;
AFG;1;04/05/2020;;;;;;;
AFG;1;05/05/2020;;;;;;;
AFG;1;06/05/2020;;;;;;;
AFG;1;07/05/2020;;;;;;;
AFG;1;08/05/2020;;;;;;;
AFG;1;09/05/2020;;;;;;;
AFG;1;10/05/2020;;;;;;;
